,date,state,positive,positiveIncrease,death,deathIncrease,hospitalizedCurrently,hospitalizedIncrease
378,20210301,PR,100584.0,287,2037.0,1,155.0,0
379,20210301,RI,126588.0,152,2517.0,3,162.0,47
380,20210301,SC,517976.0,1153,8562.0,32,725.0,19
381,20210301,SD,112470.0,43,1888.0,0,92.0,6
382,20210301,TN,775693.0,689,11421.0,10,1009.0,15
383,20210301,TX,2647845.0,3821,42995.0,59,5611.0,0
384,20210301,UT,371492.0,257,1940.0,5,238.0,29
385,20210301,VA,577174.0,1124,8783.0,231,1321.0,43
386,20210301,VI,2646.0,0,25.0,0,,0
387,20210301,VT,15284.0,86,205.0,1,29.0,0
388,20210301,WA,339773.0,0,4956.0,0,498.0,0
389,20210301,WI,617700.0,333,7014.0,0,287.0,31
390,20210301,WV,132048.0,193,2300.0,0,225.0,0
391,20210301,WY,54471.0,77,671.0,0,28.0,2
392,20210228,AK,55989.0,0,290.0,0,43.0,0
393,20210228,AL,493252.0,569,9929.0,-1,657.0,0
394,20210228,AR,322415.0,3220,5243.0,-174,455.0,0
395,20210228,AS,0.0,0,0.0,0,,0
396,20210228,AZ,816782.0,1075,15980.0,13,1251.0,91
397,20210228,CA,3475562.0,4685,51979.0,158,5674.0,0
398,20210228,CO,428303.0,841,5951.0,6,404.0,17
399,20210228,CT,279946.0,0,7622.0,0,451.0,0
400,20210228,DC,40598.0,120,1017.0,7,163.0,0
401,20210228,DE,86799.0,282,1422.0,4,142.0,0
402,20210228,FL,1874154.0,5385,31406.0,126,3679.0,105
403,20210228,GA,1006521.0,2334,17295.0,1,2341.0,76
404,20210228,GU,7736.0,1,131.0,0,4.0,0
405,20210228,HI,28326.0,56,439.0,0,30.0,0
406,20210228,IA,280039.0,295,5471.0,1,196.0,0
407,20210228,ID,171140.0,233,1860.0,1,162.0,11
408,20210228,IL,1186696.0,1249,22735.0,25,1265.0,0
409,20210228,IN,661673.0,731,12573.0,17,778.0,39
410,20210228,KS,293663.0,0,4735.0,0,258.0,0
411,20210228,KY,404622.0,675,4637.0,12,732.0,11
412,20210228,LA,430100.0,1508,9608.0,21,630.0,0
413,20210228,MA,581148.0,1468,16118.0,51,760.0,0
414,20210228,MD,382099.0,827,7869.0,13,868.0,73
415,20210228,ME,44634.0,142,703.0,1,72.0,2
416,20210228,MI,645550.0,0,16508.0,0,841.0,0
417,20210228,MN,484594.0,804,6483.0,8,263.0,5
418,20210228,MO,478224.0,274,7919.0,-1,1172.0,0
419,20210228,MP,143.0,0,2.0,0,,0
420,20210228,MS,294795.0,704,6681.0,12,492.0,0
421,20210228,MT,99954.0,117,1357.0,1,68.0,2
422,20210228,NC,858548.0,0,11212.0,0,1414.0,0
423,20210228,ND,99809.0,29,1472.0,0,21.0,1
424,20210228,NE,200848.0,167,2082.0,0,151.0,3
425,20210228,NH,75424.0,258,1170.0,0,87.0,4
426,20210228,NJ,789356.0,2389,23252.0,14,1849.0,49
427,20210228,NM,185132.0,244,3716.0,16,192.0,11
428,20210228,NV,293754.0,266,4957.0,0,491.0,0
429,20210228,NY,1630445.0,7580,38497.0,90,5259.0,0
430,20210228,OH,967422.0,1268,17297.0,60,1149.0,82
431,20210228,OK,424508.0,706,4428.0,49,484.0,76
432,20210228,OR,155315.0,437,2208.0,2,177.0,0
433,20210228,PA,931642.0,1945,24021.0,84,1720.0,0
434,20210228,PR,100297.0,253,2036.0,4,150.0,0
435,20210228,RI,126436.0,343,2514.0,2,168.0,0
436,20210228,SC,516823.0,1751,8530.0,32,769.0,47
437,20210228,SD,112427.0,134,1888.0,2,89.0,16
438,20210228,TN,775004.0,1117,11411.0,18,1004.0,19
439,20210228,TX,2644024.0,3815,42936.0,197,5696.0,0
440,20210228,UT,371235.0,465,1935.0,6,230.0,31
